#EVENTS;;;;;;;;;;;;;;x
VIETmisc.8000.desc;Last night [Root.GetSheHeOpp] appeared in my dream, and we laughed and danced and talked about nothing in particular. My heart was beating so fast, for I was so nervous yet excited that even when I woke up I could still feel it. It has been so long, so many years since we last met, yet even now I still think about [Root.GetHerHimOpp].;Hier soir, [Root.GetSheHeOpp] est apparu dans mon rêve, nous avons ri, dansé et parlé de rien en particulier. Mon cœur battait si vite, j'étais si nerveux et excité que même quand je me réveillais, je pouvais encore le sentir. Cela fait si longtemps, que de nombreuses années se sont écoulées depuis notre dernière rencontre, et pourtant, je pense toujours à [Root.GetHerHimOpp].;;;;;;;;;;x;x
VIETmisc.8442.desc;I've been staying up a lot lately out of boredom.;J'ai beaucoup veillé ces derniers temps par ennui.;;;;;;;;;;x;x
VIETmisc.8442.a;It's not a healthy thing, but I can't resist.;Ce n'est pas une chose saine, mais je ne peux pas résister.;;;;;;;;;;;;x
VIETmisc.8442.b;I'll try to make the most of my bad habit.;Je vais essayer de tirer le meilleur parti de ma mauvaise habitude.;;;;;;;;;;;;x
VIETmisc.8443.desc;I visited a friend of mine recently. As we took a walk outside and made small talk, they wanted to offer me a present. It turned out to be an oddly shaped metal stick, so I was offended at first. "This is a very good lockpick," I was told. "Once you get the hang of it, you can open any lock. I don't need it, but I think even a great [Root.GetTitle] like you could find use for it.";J'ai rendu visite à un de mes amis récemment. Alors que nous nous promenions dehors et discutions, ils ont voulu m'offrir un cadeau. Il s'est avéré que c'était un bâton en métal de forme bizarre, alors j'ai d'abord été offensé. On m'a dit : "C'est un très bon crochet de serrure". "Une fois que vous avez pris le coup de main, vous pouvez ouvrir n'importe quelle serrure. Je n'en ai pas besoin, mais je pense que même un super [Root.GetTitle] comme vous pourriez en trouver l'utilité".;;;;;;;;;;x;x
VIETmisc.8443.a;Ah! An intriguing gift... but one that could come in handy.;Ah ! Un cadeau intriguant... mais qui pourrait être utile.;;;;;;;;;;;;x
VIETmisc.8443.b;I am a [Root.GetTitle] - I leave dirty work to my spies and assassins!;Je suis un [Root.GetTitle] - je laisse le sale boulot à mes espions et à mes assassins !;;;;;;;;;;;;x
VIETmisc.8444.desc;I am at a local banquet when the host presents me with a ceramic tankard as a gift. While simple in design, it was clearly created by an expert craftsman, so though I may not necessarily use it in more formal occasions like a great feast, I could keep it for everyday use.;Je suis à un banquet local lorsque l'hôte m'offre une chope en céramique en cadeau. Bien que de conception simple, elle a clairement été créée par un artisan expert, donc même si je ne l'utilise pas nécessairement dans des occasions plus formelles comme un grand festin, je pourrais la garder pour un usage quotidien.;;;;;;;;;;x;x
VIETmisc.8444.a;Thank you for the thoughtful gift.;Merci pour ce cadeau attentionné.;;;;;;;;;;;;x
VIETmisc.8444.b;It is too plain for a [Root.GetTitle] like me.;C'est trop simple pour un [Root.GetTitle] comme moi.;;;;;;;;;;;;x
VIETmisc.8445.desc;A gang of female thieves had been recently preying on male travelers in the nearby area with a unique method. They would first seduce them and offer them erotic delights. Afterwards, they would entice their victim to strip naked. When their victim's guard was down, they would steal the man's belongings before running off, leaving the victim naked and humiliated. Your guards had difficulty catching the culprits until a cunning adventurer helped them ambush the thieves.;Une bande de voleuses s'est récemment attaquée à des voyageurs masculins dans la région voisine avec une méthode unique. Elles les séduisaient d'abord et leur offraient des délices érotiques. Ensuite, elles incitaient leur victime à se mettre à nu. Lorsque la garde de leur victime était baissée, elles volaient les affaires de l'homme avant de s'enfuir, laissant la victime nue et humiliée. Vos gardes avaient du mal à attraper les coupables jusqu'à ce qu'un aventurier rusé les aide à tendre une embuscade aux voleurs.;;;;;;;;;;x;x
VIETmisc.8445.a;Very good. I don't have money for a reward, though.;Très bien. Mais je n'ai pas d'argent pour une récompense.;;;;;;;;;;;;x
VIETmisc.8445.b;Quite impressive. This gift of gold shall do.;C'est assez impressionnant. Ce don d'or fera l'affaire.;;;;;;;;;;;;x
VIETmisc.8445.c;Pay them and request they give our guards some tips for the future.;Payez-les et demandez qu'ils donnent à nos gardes quelques conseils pour l'avenir.;;;;;;;;;;;;x
VIETmisc.8445.d;What a talented person - I need them with me at my court.;Quelle personne talentueuse - j'ai besoin d'eux avec moi à ma cour.;;;;;;;;;;;;x
VIET_siren_anvil_adventurer_hire;The adventurer will join your court, providing you valuable services with their knowledge and skills.;L'aventurier se joindra à votre tribunal et vous fournira de précieux services grâce à ses connaissances et à ses compétences.;;;;;;;;;;;;x
VIETmisc.8446.desc;In my dream last night, I lived in a beautiful cottage. Though simple, it had all manner of convenience, and I had all the food, drink, and entertainment I needed to live a happy life. When I woke up, I found myself missing the place.;Dans mon rêve d'hier soir, je vivais dans un beau chalet. Bien que simple, il était très pratique et j'avais toute la nourriture, la boisson et les divertissements dont j'avais besoin pour vivre une vie heureuse. Quand je me suis réveillé, je me suis rendu compte que l'endroit me manquait.;;;;;;;;;;x;x
VIETmisc.8446.a;It was a nice dream, all said.;C'était un beau rêve, tout compte fait.;;;;;;;;;;;;x
VIETmisc.8447.desc;As you walk through your residence one evening, by chance you look outside - and there, before you, is a most spectacular sight. The sun is setting, and it looks gorgeous. You gaze, speechless, as you admire the union of yellow, orange, red, and pink colors that shine through the few clouds in the sky.;Un soir, alors que vous traversez votre résidence, vous regardez par hasard dehors - et là, devant vous, se trouve un spectacle des plus spectaculaires. Le soleil se couche, et il est magnifique. Vous regardez, sans voix, en admirant l'union des couleurs jaune, orange, rouge et rose qui brillent à travers les quelques nuages dans le ciel.;;;;;;;;;;x;x
VIETmisc.8447.a;Amazing.;Incroyable.;;;;;;;;;;;;x
VIETmisc.8448.desc;You recently heard tales of a land where the sun is always shining, the flowers are always blooming, fruits are always hanging from the trees, and the waters are calm and of a beautiful light blue color. It is said that if one travels far across the sea, one will eventually reach this hidden paradise, and that the natives will welcome one like kin.;Vous avez récemment entendu des histoires sur une terre où le soleil brille toujours, où les fleurs sont toujours en fleurs, où les fruits sont toujours suspendus aux arbres, et où les eaux sont calmes et d'un beau bleu clair. On dit que si l'on voyage loin à travers la mer, on finira par atteindre ce paradis caché, et que les indigènes accueilleront comme un parent.;;;;;;;;;;x;x
VIETmisc.8448.a;Ha! If I kept sailing across the ocean I doubt I'd find such a land.;Ha ! Si je continuais à naviguer sur l'océan, je doute que je trouverais une telle terre.;;;;;;;;;;;;x
VIETmisc.8448.b;One day someone will travel the seas to conquer this land, I'm sure.;Un jour, quelqu'un parcourra les mers pour conquérir cette terre, j'en suis sûr.;;;;;;;;;;;;x
VIETmisc.8448.c;The question is whether the natives follow the [Root.Religion.GetName] faith.;La question est de savoir si les indigènes suivent la foi [Root.Religion.GetName].;;;;;;;;;;;;x
VIETmisc.8449.desc;We were traveling in the wilderness when we came across an old ruin. The locals say it was built by long-lost inhabitants of this land, and was perhaps once used as a fortress, or a tomb, or a shrine. We shall never know, for all that remains are a few stones and one lone column. At any rate, my entourage and I rested there for a while, before we made our way.;Nous étions en voyage dans la nature sauvage lorsque nous sommes tombés sur une vieille ruine. Les gens du coin disent qu'elle a été construite par des habitants de cette terre disparus depuis longtemps, et qu'elle a peut-être servi autrefois de forteresse, de tombeau ou de sanctuaire. Nous ne le saurons jamais, car il ne reste que quelques pierres et une seule colonne. En tout cas, mon entourage et moi nous y sommes reposés un moment, avant de nous mettre en route.;;;;;;;;;;x;x
VIETmisc.8449.a;Will our monuments be like those ruins, too, one day?;Nos monuments seront-ils un jour comme ces ruines ?;;;;;;;;;;;;x
VIETmisc.8450.desc;The baklava bakers of [Root.GetName] have gained some fame as the best in the region. Some people will travel far and wide to sample the tasty, sugary, syrupy delights that the area has become known for.;Les boulangers de [Root.GetName] ont acquis une certaine renommée en tant que meilleurs de la région. Certaines personnes voyageront loin pour goûter aux délices sucrés et sirupeux qui font la réputation de la région.;;;;;;;;;;x;x
VIETmisc.8450.a;Delicious! That reminds me, I need to buy some baklava.;Délicieux ! Cela me rappelle que je dois acheter du baklava.;;;;;;;;;;;;x
VIETmisc.8451.desc;An exotic traveler from a faraway land is visiting my court today. Though an older gentleman, there is a handsome quality to him that can only come with the wisdom of old age. He has strange but thoughtful ideas, so I enjoy talking with him. We are discussing many fascinating matters when he asks me, "Have you ever heard of Scarborough Fair?";Un voyageur exotique venu d'un pays lointain visite ma cour aujourd'hui. Bien qu'il soit un homme plus âgé, il a une belle qualité qui ne peut venir qu'avec la sagesse de la vieillesse. Il a des idées étranges mais réfléchies, c'est pourquoi j'aime parler avec lui. Nous discutons de nombreux sujets fascinants lorsqu'il me demande : "Avez-vous déjà entendu parler de la foire de Scarborough ?";;;;;;;;;;x;x
VIETmisc.8451.a;"Perhaps..." I answer, "but what do you mean by that?";"Peut-être..." Je réponds : "mais qu'est-ce que vous voulez dire par là ?";;;;;;;;;;;;x
VIETmisc.8452.title;Scarborough Fair;Foire de Scarborough;;;;;;;;;;x;x
VIETmisc.8452.desc;"Scarborough is an actual place, but the song, Scarborough Fair, is a most profound ballad about human existence," he says. When I ask him to explain, he sings the song to me:\n\n"Are you going to Scarborough Fair?\nParsley, sage, rosemary, and thyme.\nRemember me to one who lives there\nShe once was a true love of mine."\n\nThe man smiles and hands me a piece of paper. "Though it is an impossible task, we are all traveling to Scarborough Fair, dear friend. keep my copy of the lyrics so you can study the wisdom in its words.";"Scarborough est un lieu réel, mais la chanson Scarborough Fair est une ballade très profonde sur l'existence humaine", dit-il. Quand je lui demande de s'expliquer, il me chante la chanson :\n\n "Allez-vous à la foire de Scarborough ?\nParsley, sage, romarin et thym.\nSouvenez-vous de moi à celle qui y vit. Elle était autrefois un véritable amour pour moi."\n\nL'homme sourit et me tend un morceau de papier. "Bien que ce soit une tâche impossible, nous allons tous à la foire de Scarborough, cher ami. Gardez ma copie des paroles pour que vous puissiez étudier la sagesse dans ses mots.";;;;;;;;;;x;x
VIETmisc.8452.a;He smiles at me kindly as I accept his gift.;Il me sourit gentiment alors que j'accepte son cadeau.;;;;;;;;;;;;x
VIET_swansong_scarborough_fair;"At the end of the road, of the journey we all must take, no matter how impossible, is Scarborough Fair....";"Au bout de la route, du voyage que nous devons tous faire, aussi impossible soit-il, se trouve la foire de Scarborough...";;;;;;;;;;x;x
VIETmisc.8453.desc;xxxxx;;;;;;;;;;;x
VIETmisc.8453.a;Xxxxxxffff;;;;;;;;;;;;;x
VIETmisc.8454.desc;xxxxx;;;;;;;;;;;x
VIETmisc.8454.a;Xxxxxxffff;;;;;;;;;;;;;x
VIETmisc.8455.desc;xxxxx;;;;;;;;;;;x
VIETmisc.8455.a;Xxxxxxffff;;;;;;;;;;;;;x
VIETmisc.8456.desc;xxxxx;;;;;;;;;;;x
VIETmisc.8456.a;Xxxxxxffff;;;;;;;;;;;;;x
VIETmisc.8457.desc;xxxxx;;;;;;;;;;;x
VIETmisc.8457.a;Xxxxxxffff;;;;;;;;;;;;;x
VIETmisc.8458.desc;xxxxx;;;;;;;;;;;x
VIETmisc.8458.a;Xxxxxxffff;;;;;;;;;;;;;x
VIETmisc.8459.desc;xxxxx;;;;;;;;;;;x
VIETmisc.8459.a;Xxxxxxffff;;;;;;;;;;;;;x
VIETmisc.8460.desc;xxxxx;;;;;;;;;;;x
VIETmisc.8460.a;Xxxxxxffff;;;;;;;;;;;;;x
VIETmisc.8461.desc;xxxxx;;;;;;;;;;;x
VIETmisc.8461.a;Xxxxxxffff;;;;;;;;;;;;;x
VIETmisc.8462.desc;xxxxx;;;;;;;;;;;x
VIETmisc.8462.a;Xxxxxxffff;;;;;;;;;;;;;x
VIETmisc.8463.desc;xxxxx;;;;;;;;;;;x
VIETmisc.8463.a;Xxxxxxffff;;;;;;;;;;;;;x
VIETmisc.8464.desc;xxxxx;;;;;;;;;;;x
VIETmisc.8464.a;Xxxxxxffff;;;;;;;;;;;;;x
VIETmisc.8465.desc;xxxxx;;;;;;;;;;;x
VIETmisc.8465.a;Xxxxxxffff;;;;;;;;;;;;;x
VIETmisc.8466.desc;xxxxx;;;;;;;;;;;x
VIETmisc.8466.a;Xxxxxxffff;;;;;;;;;;;;;x
VIETmisc.8467.desc;xxxxx;;;;;;;;;;;x
VIETmisc.8467.a;Xxxxxxffff;;;;;;;;;;;;;x
VIETmisc.8468.desc;xxxxx;;;;;;;;;;;x
VIETmisc.8468.a;Xxxxxxffff;;;;;;;;;;;;;x
VIETmisc.8469.desc;xxxxx;;;;;;;;;;;x
VIETmisc.8469.a;Xxxxxxffff;;;;;;;;;;;;;x
VIETmisc.8470.desc;xxxxx;;;;;;;;;;;x
VIETmisc.8470.a;Xxxxxxffff;;;;;;;;;;;;;x
VIETmisc.8471.desc;xxxxx;;;;;;;;;;;x
VIETmisc.8471.a;Xxxxxxffff;;;;;;;;;;;;;x
VIETmisc.8472.desc;xxxxx;;;;;;;;;;;x
VIETmisc.8472.a;Xxxxxxffff;;;;;;;;;;;;;x
VIETmisc.8473.desc;xxxxx;;;;;;;;;;;x
VIETmisc.8473.a;Xxxxxxffff;;;;;;;;;;;;;x
VIETmisc.8474.desc;xxxxx;;;;;;;;;;;x
VIETmisc.8474.a;Xxxxxxffff;;;;;;;;;;;;;x
VIETmisc.8475.desc;xxxxx;;;;;;;;;;;x
VIETmisc.8475.a;Xxxxxxffff;;;;;;;;;;;;;x
VIETmisc.8476.desc;xxxxx;;;;;;;;;;;x
VIETmisc.8476.a;Xxxxxxffff;;;;;;;;;;;;;x
VIETmisc.8477.desc;xxxxx;;;;;;;;;;;x
VIETmisc.8477.a;Xxxxxxffff;;;;;;;;;;;;;x
VIETmisc.8478.desc;xxxxx;;;;;;;;;;;x
VIETmisc.8478.a;Xxxxxxffff;;;;;;;;;;;;;x
VIETmisc.8479.desc;xxxxx;;;;;;;;;;;x
VIETmisc.8479.a;Xxxxxxffff;;;;;;;;;;;;;x
VIETmisc.8480.desc;xxxxx;;;;;;;;;;;x
VIETmisc.8480.a;Xxxxxxffff;;;;;;;;;;;;;x
VIETmisc.8481.desc;xxxxx;;;;;;;;;;;x
VIETmisc.8481.a;Xxxxxxffff;;;;;;;;;;;;;x
VIETmisc.8482.desc;xxxxx;;;;;;;;;;;x
VIETmisc.8482.a;Xxxxxxffff;;;;;;;;;;;;;x
VIETmisc.8483.desc;xxxxx;;;;;;;;;;;x
VIETmisc.8483.a;Xxxxxxffff;;;;;;;;;;;;;x
VIETmisc.8484.desc;xxxxx;;;;;;;;;;;x
VIETmisc.8484.a;Xxxxxxffff;;;;;;;;;;;;;x
VIETmisc.8485.desc;xxxxx;;;;;;;;;;;x
